這,zhè,この、その,我要買這個。,Wǒ yào mǎi zhège.,私はこれを買いたいです
第,dì,第〜、〜番目の,這是我第一次來台灣。,Zhè shì wǒ dì yī cì lái Táiwān.,台湾に来るのは初めてです。
個,gè / ge,〜人、〜個,我有一個弟弟和一個妹妹。,Wǒ yǒu yí gè dìdi hé yí gè mèimei.,私には兄と妹がいます。
歲,suì,〜歳,小馬哥今年二十歲。,Xiǎo Mǎ Gē jīnnián èrshí suì.,馬兄さんは今年で20歳です。
本,běn,本,這是一本德文雜誌。,Zhè shì yì běn Déwén zázhì.,これはドイツの雑誌です。
張,zhāng,開ける,這張桌子是木頭做的。,Zhè zhāng zhuōzi shì mùtou zuò de.,このテーブルは木でできています。
次,cì,〜回目,我吃過幾次釋迦。,Wǒ chīguò jǐ cì shìjiā.,カスタードアップルは何度か食べたことがあります。
雙,shuāng,～足、〜膳（対になっているものを数える）,給我兩雙襪子。,Gěi wǒ liǎng shuāng wàzi.,靴下を二足ください。
件,jiàn,〜着（衣類、特に上着を数える）、（事柄や物を数える）,你這件衣服很好看。,Nǐ zhè jiàn yīfú hěn hǎokàn.,あなたのドレスは素敵ですね。
現在,xiànzài,今,現在幾點？,Xiànzài jǐ diǎn?,今何時ですか？
今年,jīnnián,今年,他今年上大學。,Tā jīnnián shàng dàxué.,彼は今年大学に行きます。
明年,míngnián,来年,明年我想去台灣找工作。,Míngnián wǒ xiǎng qù Táiwān zhǎo gōngzuò.,来年は台湾に行って仕事を探したいと思っています。
去年,qùnián,去年,去年我去北海道看朋友。,Qùnián wǒ qù Běihǎidào kàn péngyǒu.,去年、友達に会いに北海道へ行きました。
今天,jīntiān,今日,今天想去行天宮走走。,Jīntiān xiǎng qù Xíngtiāngōng zǒuzou.,今日は行天宮の周りを散歩したいと思います。
明天,míngtiān,明日,你明天有空嗎？,Nǐ míngtiān yǒu kòng ma?,明日は暇ですか？
昨天,zuótiān,昨日,他昨天沒睡覺。,Tā zuótiān méi shuìjiào.,彼は昨日寝ませんでした。
星期,xīngqī,週,今天星期幾？,Jīntiān xīngqí jǐ?,今日は何の日ですか?
星期天,xīngqītiān,日曜日,我星期天要打工。,Wǒ xīngqítiān yào dǎgōng.,日曜日は仕事をしなければなりません。
星期日,xīngqīrì,日曜日,他每個星期日都去打高爾夫球。,Tā měi gè xīngqírì dōu qù dǎ gāo'ěrfū qiú.,彼は毎週日曜日にゴルフをします。
週末,zhōumò,週末,你週末有什麼計畫？,Nǐ zhōumò yǒu shénme jìhuà?,週末の予定は何ですか?
生日,shēngrì,誕生日,今天是他生日。,Jīntiān shì tā shēngrì.,今日は彼の誕生日です。
年,nián,年,今年是狗年。,Jīnnián shì gǒunián.,今年は戌年です。
月,yuè,月,你的生日幾月幾號？,Nǐ de shēngrì jǐ yuè jǐ hào?,あなたの誕生日はいつですか？
日,rì,日,今天幾月幾日？,Jīntiān jǐ yuè jǐ rì?,今日は何の日ですか?
號,hào,番号,你幾號出國？,Nǐ jǐ hào chūguó?,いつ出国しますか？
天,tiān,空,我想休息幾天去旅行。,Wǒ xiǎng xiūxí jǐ tiān qù lǚxíng.,旅行のために数日休暇をとりたいです。
早上,zǎoshàng,朝,早上比較冷。,Zǎoshang bǐjiào lěng.,朝はもっと寒いです。
上午,shàngwǔ,午前,這家店上午沒開。,Zhè jiā diàn shàngwǔ méi kāi.,午前中はお店は開いておりません。
中午,zhōngwǔ,正午,你中午吃什麼？,Nǐ zhōngwǔ chī shénme?,昼食には何を食べますか？
下午,xiàwǔ,午後,我下午去機場接你。,Wǒ xiàwǔ qù jīchǎng jiē nǐ.,午後に空港までお迎えに行きます。
晚上,wǎnshàng,夜,晚上要不要一起吃飯？,Wǎnshàng yào bú yào yìqǐ chīfàn?,今夜一緒に夕食を食べませんか?
點,diǎn,〜時,我今天三點下課。,Wǒ jīntiān sān diǎn xiàkè.,今日は3時に授業が終わります。
分,fēn,〜分,現在十二點五分。,Xiànzài shí'èr diǎn wǔ fēn.,午後５時１２分です。
時候,shíhòu,〜のとき、とき、時間,你什麼時候有空？,Nǐ shénme shíhou yǒu kòng?,いつ空いていますか？
以前,yǐqián,以前、昔、〜の前,以前這裡是夜市。,Yǐqián zhèlǐ shì yèshì.,ここはかつて夜市だったそうです。
以後,yǐhòu,以後、今後、〜のあと,以後你想住在哪裡？,Yǐhòu nǐ xiǎng zhù zài nǎlǐ?,将来どこに住みたいですか？
先,xiān,先に、まず,我先走了。,Wǒ xiān zǒu le.,私が先に出発します。
在,zài,〜で、〜に,參考書放在桌子上。,Cānkǎoshū fàng zài zhuōzi shàng.,参考書はテーブルの上にあります。
這裡,zhèlǐ,ここ、そこ,這裡是桃園國際機場。,Zhèlǐ shì Táoyuán Guójì Jīchǎng.,ここは桃園国際空港です。
這兒,zhè'er,ここ、そこ,松山機場就是這兒。,Sōngshān Jīchǎng jiù shì zhè'er.,松山空港はここです。
那裡,nàlǐ,そこには,那裡是高雄車站。,Nàlǐ shì Gāoxióng Chēzhàn.,それが高雄駅です。
那兒,nà'er,そこには,基隆港在那兒。,Jīlóng Gǎng zài nà'er.,基隆港があります。
哪裡,nǎlǐ,どこ,洗手間在哪裡？,Xǐshǒujiān zài nǎlǐ?,お手洗いはどこですか？
哪兒,nǎ'er,どこ,圓山大飯店在哪兒？,Yuánshān Dàfàndiàn zài nà'er?,グランドホテルはどこにありますか？
上面,shàngmiàn,その上,水果放上面。,Shuǐguǒ fàng shàngmiàn.,上にフルーツを置きます。
下面,xiàmiàn,下,青菜放下面。,Qīngcài fàng xiàmiàn.,下に野菜を置きます。
外面,wàimiàn,外,今天外面很熱。,Jīntiān wàimiàn hěn rè.,今日は外は暑いです。
前面,qiánmiàn,フロント,前面是捷運站。,Qiánmiàn shì jiéyùn zhàn.,目の前はMRTの駅です。
後面,hòumiàn,後で,飯店後面有便利商店。,Fàndiàn hòumiàn yǒu biànlì shāngdiàn.,ホテル裏手にコンビニがございます。
左邊,zuǒbiān,左,美食街在左邊。,Měishíjiē zài zuǒbiān.,フードコートは左側にあります。
右邊,yòubiān,右,郵局在右邊。,Yóujú zài yòubiān.,郵便局は右側にあります。
旁邊,pángbiān,そば、かたわら,我旁邊有空位。,Wǒ pángbiān yǒu kòngwèi.,私の隣の席が空いています。
中間,zhōngjiān,間、中間,小孩坐在爸爸媽媽中間。,Xiǎohái zuò zài bàba māma zhōngjiān.,子供は両親の間に座ります。
附近,fùjìn,近く,這附近有銀行嗎？,Zhè fùjìn yǒu yínháng ma?,この近くに銀行はありますか?
地方,dìfāng,場所,這是什麼地方？,Zhè shì shénme dìfāng?,ここは何ですか？
台灣,Táiwān,台湾,台灣是美麗的寶島。,Táiwān shì měilì de bǎodǎo.,台湾は美しい宝の島です。
中國,Zhōngguó,中国,中國有很多大貓熊。,Zhōngguó yǒu hěn duō dà māoxióng.,中国にはジャイアントパンダがたくさんいます。
日本,Rìběn,日本,我朋友要去日本學動畫。,Wǒ péngyǒu yào qù Rìběn xué dònghuà.,私の友達はアニメーションを勉強するために日本へ行く予定です。
美國,Měiguó,アメリカ合衆国,我想去美國。,Wǒ xiǎng qù Měiguó.,アメリカに行きたいです。
近,jìn,近い,銀行很近。,Yínháng hěn jìn.,銀行はとても近いです。
遠,yuǎn,遠い,我家離學校不遠。,Wǒ jiā lí xuéxiào bù yuǎn.,私の家は学校からそれほど遠くありません。
手,shǒu,手,爸爸的手很大。,Bàba de shǒu hěn dà.,お父さんの手は大きいです。
身體,shēntǐ,体,爺爺身體不舒服。,Yéye shēntǐ bù shūfu.,おじいちゃんの体調が良くありません。
眼睛,yǎnjīng,目,她有一雙大眼睛。,Tā yǒu yì shuāng dà yǎnjīng.,彼女は大きな目をしています。
藥,yào,薬,這是什麼藥？,Zhè shì shénme yào?,これは何の薬ですか?
大,dà,大きい,有沒有大一點的？,Yǒu méiyǒu dà yìdiǎn de?,もっと大きなものはありますか？
小,xiǎo,小さい,這個袋子太小了。,Zhège dàizi tài xiǎo le.,このバッグは小さすぎます。
熱,rè,熱い,今天很熱。,Jīntiān hěn rè.,今日はとても暑いですね。
冷,lěng,寒い,我覺得冷氣太冷。,Wǒ juéde lěngqì tài lěng.,エアコンが寒すぎると思います。
快,kuài,素早い,快一點。,Kuài yìdiǎn.,急いで。
慢,màn,遅い,慢慢來。,Màn man lái.,ゆっくりしてください。
多,duō,多くの,工作太多了。,Gōngzuò tài duō le.,大変です。
少,shǎo,少し,飯太少。,Fàn tài shǎo.,食べ物が少なすぎる。
新,xīn,新しい,有沒有新的。,Yǒu méiyǒu xīn de.,新しいものはありますか。
長,cháng / zhǎng,長さ,開會的時間太長了。,Kāihuì de shíjiān tài cháng le.,会議に時間がかかりすぎました。
高,gāo,高い,台北一零一很高。,Táiběi yī líng yī hěn gāo.,台北101はとても高いです。
好看,hǎokàn,美しい、きれいである、体裁が良い,這雙運動鞋很好看。,Zhè shuāng yùndòngxié hěn hǎokàn.,このスニーカーはかっこいいです。
漂亮,piàoliàng,美しい、きれいである,真漂亮。,Zhēn piàoliang.,それは美しいです。
一樣,yíyàng,同じ,我和你一樣高。,Wǒ hé nǐ yíyàng gāo.,私はあなたと同じくらい背が高いです。
高興,gāoxìng,うれしい、楽しい,我很高興。,Wǒ hěn gāoxìng.,とても嬉しいです。
快樂,kuàilè,楽しい、愉快である,生日快樂。,Shēngrì kuàilè.,お誕生日おめでとう。
有趣,yǒuqù,面白い,這部動畫很有趣。,Zhè bù dònghuà hěn yǒuqù.,このアニメーションはとても面白いです。
知道,zhīdào,知っている、わかっている,我不知道他是誰。,Wǒ bù zhīdào tā shì shéi.,彼が誰なのか分かりません。
認識,rènshì,知っている、面識がある、認識する,你認識五月天嗎？,Nǐ rènshì Wǔ Yuè Tiān ma?,メーデーってご存知ですか？
懂,dǒng,理解する,我不懂他的心。,Wǒ bù dǒng tā de xīn.,彼の心が分かりません。
想,xiǎng,〜したい、考える、〜と思う、恋しい,我想去台灣留學。,Wǒ xiǎng qù Táiwān liúxué.,台湾に留学したいです。
要,yào,〜しなければならない、〜したい,太晚了，我要回家了。,"Tài wǎn le, wǒ yào huí jiā le.",もう遅いので家に帰ります。
覺得,juéde,〜と思う、感じる,你覺得金門高粱酒好喝嗎？,Nǐ juéde Jīnmén Gāoliáng jiǔ hǎo hē ma?,金門高麗酒はおいしいと思いますか?
喜歡,xǐhuān,好きである、好む、よく〜する,小英喜歡爬山。,Xiǎo Yīng xǐhuān páshān.,シャオインは山に登るのが好きです。
愛,ài,愛する、好む、よく〜する,田中愛吃台灣小吃。,Tiánzhōng ài chī Táiwān xiǎochī.,台湾のお菓子が大好きな田中さん。
笑,xiào,笑う,不要笑我。,Bú yào xiào wǒ.,私を笑わないでください。
意思,yìsi,意味、気持ち、趣,這是什麼意思？,Zhè shì shénme yìsi?,これはどういう意味ですか？
做,zuò,する、やる、作る,今年寒假你想做什麼？,Jīnnián hánjià nǐ xiǎng zuò shénme?,この冬休みは何をしたいですか?
用,yòng,使う,中文課請用中文說話。,Zhōngwén kè qǐng yòng Zhōngwén shuōhuà.,中国語の授業では中国語で話してください。
去,qù,行く,你去哪裡？,Nǐ qù nǎlǐ?,あなたはどこに行きますか？
來,lái,来る,你來台灣多久了？,Nǐ lái Táiwān duō jiǔ le?,台湾に来てどれくらいですか？
到,dào,到着する、達する、行く、来る,我十二點到台南。,Wǒ shí'èr diǎn dào Táinán.,12時に台南に到着します。
回,huí,戻る,明天我坐飛機回東京。,Míngtiān wǒ zuò fēijī huí Dōngjīng.,明日の飛行機で東京に戻ります。
走,zǒu,歩く、行く、離れる,走吧。,Zǒu ba.,さあ行こう。
走路,zǒulù,歩く,我走路回家。,Wǒ zǒulù huí jiā.,歩いて家に帰ります。
跑,pǎo,走る,山豬跑得很快。,Shānzhū pǎo de hěn kuài.,イノシシはとても速く走ります。
進來,jìnlái,お入りください,可以寄來嗎？,Kěyǐ jì lái ma?,送ってもらえますか？
出去,chūqù,外出,我想出去買東西。,Wǒ xiǎng chūqù mǎi dōngxī.,何かを買いに出かけたいです。
站,zhàn,立つ,不要站在外面。,Bú yào zhàn zài wàimiàn.,外に立たないでください。
坐,zuò,座る,我喜歡坐船旅行。,Wǒ xǐhuān zuò chuán lǚxíng.,私は船で旅行するのが大好きです。
說,shuō,言う、話す、説明する,請再說一次。,Qǐng zài shuō yí cì.,もう一度言ってください。
說話,shuōhuà,話をする,在圖書館不要大聲說話。,Zài túshūguǎn bú yào dàshēng shuōhuà.,図書館では大声で話さないでください。
聽,tīng,聞く,你要聽媽媽的話。,Nǐ yào tīng māma de huà.,お母さんの言うことを聞かなければなりません。
問,wèn,尋ねる、問う,請問，這站在哪裡？,"Qǐngwèn, zhè zhàn zài nǎlǐ?",すみません、この駅はどこですか?
讀,dú,読む、勉強する,黃小姐最近再讀台灣小說。,Huáng xiǎojiě zuìjìn zài dú Táiwān xiǎoshuō.,黄さんは最近また台湾の小説を読み始めた。
寫,xiě,書く,請寫在這裡。,Qǐng xiě zài zhèlǐ.,ここに書いてください。
練習,liànxí,練習する,奶奶每天練習太極拳。,Nǎinai měitiān liànxí Tàijí quán.,おばあちゃんは毎日太極拳を練習しています。
看,kàn,見る,我想去日月潭看風景。,Wǒ xiǎng qù Rìyuètán kàn fēngjǐng.,日月潭に景色を見に行きたいです。
找,zhǎo,探す,你找誰？,Nǐ zhǎo shéi?,誰を探していますか?
準備,zhǔnbèi,準備する、〜するつもりである,準備好了嗎？,Zhǔnbèi hǎo le ma?,準備はできたか？
開,kāi,開く、開ける、起動する、始める,來，開動了。,"Lái, kāidòng le.",さあ、始めましょう。
開始,kāishǐ,始める、始まる,他開始學做蛋糕。,Tā kāishǐ xué zuò dàngāo.,彼はケーキ作りを学び始めた。
等,děng,待つ,請等一下。,Qǐng děng yíxià.,お待ちください。
拿,ná,持つ、取る、つかむ、捕らえる,票你拿了嗎？,Piào nǐ ná le ma?,チケットは取れましたか？
放,fàng,置く,鑰匙放在哪裡？,Yàoshi fàng zài nǎlǐ?,鍵はどこにありますか?
換,huàn,交換する、かえる,可以跟您換名片嗎？,Kěyǐ gēn nín huàn míngpiàn ma?,あなたと名刺を交換してもいいですか？
給,gěi,与える,蔡老師給我一本書。,Cài lǎoshī gěi wǒ yì běn shū.,カイ先生が私に本をくれました。
送,sòng,届ける,我送你去車站。,Wǒ sòng nǐ qù chēzhàn.,駅までお送りします。
帶,dài,持ってくる,下雨了，記得帶雨傘出門。,"Xiàyǔ le, jìdé dài yǔsǎn chūmén.",雨が降ったら、出かけるときは傘を忘れずに持っていきましょう。
介紹,jièshào,導入,請大家自我介紹一下。,Qǐng dàjiā zìwǒ jièshào yíxià.,自己紹介をお願いします。
參加,cānjiā,参加する,我想參加媽祖遶境活動。,Wǒ xiǎng cānjiā Māzǔ rào jìng huódòng.,媽祖周遊活動に参加したいです。
生活,shēnghuó,人生,這裡的生活很自由。,Zhèlǐ de shēnghuó hěn zìyóu.,ここでの生活はとても自由です。
東西,dōngxī,もの,媽媽喜歡買東西。,Māma xǐhuān mǎi dōngxī.,お母さんは物を買うのが好きです。
電話,diànhuà,電話,我再打電話給你。,Wǒ zài dǎ diànhuà gěi nǐ.,また電話します。
打電話,dǎ diànhuà,電話をかける,有空打電話給我。,Yǒu kòng dǎ diànhuà gěi wǒ.,時間があったら電話してください。
電視,diànshì,テレビ,我很少看電視。,Wǒ hěn shǎo kàn diànshì.,私はテレビをほとんど見ません。
電腦,diànnǎo,コンピューター,你有電腦嗎？,Nǐ yǒu diànnǎo ma?,コンピューターをお持ちですか?
手機,shǒujī,携帯電話,我的手機不見了。,Wǒ de shǒujī bú jiàn le.,電話が行方不明です。
號碼,hàomǎ,番号,你的手機號碼幾號？,Nǐ de shǒujī hàomǎ jǐ hào?,携帯電話番号は何ですか?
衣服,yīfú,衣類,你的衣服在哪買的？,Nǐ de yīfú zài nǎ mǎi de?,どこで服を買いましたか？
鞋子,xiézi,靴,進門前先脫鞋子。,Jìnmén qián xiān tuō xiézi.,入る前に靴を脱いでください。
褲子,kùzi,パンツ,這件褲子太緊了。,Zhè jiàn kùzi tài jǐn le.,このズボンはきつすぎます。
穿,chuān,着る,天冷了，都穿一件衣服。,"Tiān lěng le, dōu chuān yí jiàn yīfú.",寒いので一枚着ていきましょう。
紙,zhǐ,紙,你會折紙飛機嗎？,Nǐ huì zhé zhǐ fēijī ma?,折り紙で飛行機を作ることはできますか？
信,xìn,手紙,現在人們很少寫信了。,Xiànzài rénmen hěn shǎo xiě xìn le.,今では手紙を書く人はほとんどいません。
家,jiā,家,我家在板橋。,Wǒ jiā zài Bǎnqiáo.,私の家は板橋にあります。
房子,fángzi,家、部屋,這房子是有名的四合院。,Zhè fángzi shì yǒumíng de sìhéyuàn.,この家は有名な中庭の家です。
門,mén,ドア,門口貼了一個「福」子。,Ménkǒu tiē le yí gè 'fú' zì.,ドアには「福」のステッカーが貼ってあります。
客廳,kètīng,リビングルーム,他在客廳看電視。,Tā zài kètīng kàn diànshì.,彼はリビングルームでテレビを見ています。
住,zhù,住む、泊まる,你住哪裡？,Nǐ zhù nǎlǐ?,どこに住んでいますか？
起床,qǐchuáng,起きる,這個星期六我七點半起床。,Zhè ge xīngqíliù wǒ qī diǎn bàn qǐchuáng.,今週の土曜日、私は７時半に起きました。
睡覺,shuìjiào,寝る,他昨天很晚睡覺。,Tā zuótiān hěn wǎn shuìjiào.,彼は昨夜遅くに寝ました。
洗,xǐ,洗う,吃飯之前要洗手。,Chīfàn zhīqián yào xǐshǒu.,食べる前に手を洗ってください。
洗澡,xǐzǎo,風呂に入る、シャワーを浴びる,我的貓不喜歡洗澡。,Wǒ de māo bù xǐhuān xǐzǎo.,うちの猫はお風呂が嫌いです。
學校,xuéxiào,学校,今天學校沒課。,Jīntiān xuéxiào méi kè.,今日は学校に授業がありません。
大學,dàxué,大学,這所大學很有名。,Zhè suǒ dàxué hěn yǒumíng.,この大学はとても有名です。
中學,zhōngxué,中学校,我從中文開始學英文。,Wǒ cóng Zhōngwén kāishǐ xué Yīngwén.,私は中国語から英語を学び始めました。
年級,niánjí,学年,他現在高中三年級。,Tā xiànzài gāozhōng sān niánjí.,彼は今、高校三年生です。
老師,lǎoshī,教師,你的中文老師是誰？,Nǐ de Zhōngwén lǎoshī shì shéi?,あなたの中国語の先生は誰ですか?
學生,xuéshēng,学生,學生半價。,Xuéshēng bànjià.,学生は半額です。
學,xué,学ぶ、習う、真似る,我在學注音符號。,Wǒ zài xué zhùyīn fúhào.,発音記号を勉強しています。
學習,xuéxí,勉強,學習語言也能學習文化。,Xuéxí yǔyán yě néng xuéxí wénhuà.,言語を学ぶことは文化を学ぶことでもあります。
上課,shàngkè,授業に出る、授業を受ける、授業をする,你幾點上課？,Nǐ jǐ diǎn shàngkè?,何時に授業がありますか？
下課,xiàkè,授業が終わる,下課後我們去逛街。,Xiàkè hòu wǒmen qù guàngjiē.,授業が終わったらわたしたちは街に遊びに行きます。
考試,kǎoshì,試験、テスト、試験をする,準備大學考試很辛苦。,Zhǔnbèi dàxué kǎoshì hěn xīnkǔ.,大学受験の準備は大変です。
問題,wèntí,問題、質問,你有什麼問題？,Nǐ yǒu shénme wèntí?,なにか問題がありますか？
英文,Yīngwén,英語,我會唱英文歌。,Wǒ huì chàng Yīngwén gē.,私は英語の歌を歌うことができます。
數學,shùxué,数学,瑪麗最喜歡的科目是數學。,Mǎlì zuì xǐhuān de kēmù shì shùxué.,メアリーの好きな科目は数学です。
歷史,lìshǐ,歴史,我們從歷史學到什麼？,Wǒmen cóng lìshǐ xué dào shénme?,私たちは歴史から何を学べますか?
字,zì,字,你的字很漂亮。,Nǐ de zì hěn piàoliang.,あなたの手書きは美しいですね。
筆,bǐ,筆記具,借我一支筆。,Jiè wǒ yì zhī bǐ.,ペンを貸してください。
書,shū,本,這本書介紹台灣的歷史。,Zhè běn shū jièshào Táiwān de lìshǐ.,この本は台湾の歴史を紹介しています。
